"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format"
"N21349","Covert, Nicholas.","","The scrivener's guide.",NULL,"[London] :","In the Savoy: printed by Eliz. Nutt, (executrix of J. Nutt, assignee of Edw. Sayer, Esq;) for W. Mears and J. Browne , without Temple-Bar ; J. Hooke and T. Woodward , in Fleetstreet ; and L. Sweeting in Chancery Lane,",1716.,1716,"2v.([38],896p.) ;","","8⁰."
"N21772",NULL,NULL,"Select translations from the works of Sannazarius,",NULL,"London :","printed for J. Millan at Locke's-Head in Shug-Lane, near the upper End of the Hay-Market ; and sold by G. Strahan in Cornhill, A. Bettesworth in Pater-Noster-Row, T. Woodward in Fleet-Street, J. Stagg in Westminster-Hall, S. Harding in St. Martin's-Lane,","MDCCXXVI. [1726]",1726,"[4],xliii,[1];[2],63,[1];[2],62;[6],80p. ;","","8⁰."
"N22089","Ovid,","43 B.C.-17 or 18 A.D.","Ovid's Metamorphoses. In fifteen books. Made English by several hands. Adorn'd with cuts. ... . The third edition, with great improvements, by Mr. Sewell.",NULL,"London :","printed for A. Bettesworth and C. Hitch in Pater noster-row, W. Mears on Ludgate-Hill, T. Woodward in Fleetstreet, T. Astley in St. Paul's Church-Yard; and sold by J. Osborn at the Golden-Ball in Pater-Noster-Row,",1733.,1733,"2v.,plates ;","","12⁰."
"N22550","Pineda, Pedro.","","A short and compendious method for the learning to speak, read, and write the Spanish language:",NULL,"London :","printed for T. Woodward,",1726.,1726,"[24],320p. ;","","8⁰."
"N22665","Dionysius,","","Tēs palai kai tēs nyn oikoumenēs periēgēsis,","Editio quinta.","Londini :","typis T. Wood, impensis H. Knaplock, D. Midwinter, R. Robinson, W. Innys & R. Manby, A. Ward, J. & P. Knapton, T. Longman, and the executors of J. Sprint,",1738.,1738,"[8],124,[8]p.,plates :","maps ;","8⁰."
"N2291","Jacob, Giles,","1686-1744.","The grand precedent:",NULL,"London :","printed by Eliz. Nutt, (executrix of J. Nutt, assignee of Edward Sayer, Esq;) for Daniel Brown, Bernard Lintot, T. Ward, W. Mears, J. Brown and T. Woodward,",1716.,1716,"[8],513,[47]p. ;","","8⁰."
"N22997","Nicolson, William,","1655-1727.","The Scottish historical library:",NULL,"London :","printed for G. Strahan; W. Mears; T. Woodward; F. Clay, and D. Browne; C. Davis; and T. Osborne,",1736.,1736,"xviii,[2],148p. ;","","2⁰."
"N23914",NULL,NULL,"Some papers lately read before the Royal Society concerning the fresh-water polypus; an Insect, which hath this surprising Property, That being cut into several Pieces, each Piece becomes a perfect Animal, as complete as that of which it was originally only a Part.",NULL,"London :","printed for T. Woodward, at the Half-Moon, between the Two Temple-Gates in Fleetstreet; and C. Davis, over-against Gray's-Inn Gate in Holbourn; Printers to the Royal Society,","M.DCC.XLIII. [1743]",1743,"[2],xvii,[1]p. :","ill. ;","8⁰."
"N23997","Hales, Stephen,","1677-1761.","Statical essays:","The second edition, corrected.","London :","printed for W. Innys and R. Manby; and T. Woodward,",1740.,1740,"[10],vi,xvii-xxii,[26],354,[22]p. :","ill. ;","8⁰."
"N25468","Sedgewick, O.","","The world turn'd inside-out; or, humankind unmask'd. Vol. I.",NULL,"London :","printed for T. Woodman, at Camden's Head, in Round-Court, in the Strand; and J. Chrichley, at the London-Gazette, Charing-Cross,",1737.,1737,"[8],302p. ;","","12⁰."
"N25926","Tacitus, Cornelius.","","The works of Tacitus.","The second edition, corrected.","London :","printed for T. Woodward, and J. Peele; and sold by J. Osborn,",1737.,1737,"4v. ;","","8⁰."
"N27426","Ray, John,","1627-1705.","A collection of English words not generally used.",NULL,"London :","printed for J. Torbuck, in Clare-Court, Drury-Lane; O. Payne and T. Woodman, in New-Round-Court, in the Strand,","M.DCC.XXXVII. [1737]",1737,"150,[2]p. ;","","8⁰."
"N27528","Banks, John,","d. 1706.","The tragedy of the Lady Jane Gray.",NULL,"London :","printed for W. Mears, and J. Brown; and T. Woodward,",1715.,1715,"83,[1]p.,plate ;","","12⁰."
"N27694","Bradley, Richard,","1688-1732.","The country gentleman and farmer's monthly director.","The sixth edition. With large additions and improv","London :","printed for D. Browne, at the Black-Swan without Temple-Bar; and T. Woodman, in Russel-Street, Covent-Garden,","M.DCC.XXXII. [1732]",1732,"xxi,[1],185,[1]p. :","ill. ;","8⁰."
"N27775","Clarendon, Edward Hyde,","1609-1674.","A collection of several tracts",NULL,"London :","printed for T. Woodward, and J. Peele,",1727.,1727,"[4],348,[3],370-770p. ;","","2⁰."
"N27964","Caesar, Julius.","","C. Julius Cæsar's Commentaries","The fifth edition. With notes .. and Dionysius Vos","London :","printed by T. Wood, for J. and J. Knapton; D. Midwinter and A. Ward; J. Round; R. Gosling; and T. Ward and E. Wicksteed,",1732.,1732,"xxxii,431,[9]p.,plates :","maps ;","8⁰."
"N28321","Hadley, George.","","A description of a new instrument, invented by John Hadley, Esq;",NULL,"London :","printed by T. Wood, and sold by A. Nutt,",1738.,1738,"30,[2]p.,plate ;","","8⁰."
"N28886","Tillotson, John,","1630-1694.","That important case of conscience practically resolv'd:",NULL,"London :","printed for T. Woodward, next Door but one to Temple-Bar,",1720.,1720,"[2],16p. ;","","2⁰."
"N28948","Defoe, Daniel,","1661?-1731.","The farther adventures of Robinson Crusoe;","The seventh edition, adorn'd with cuts.","London :","printed for T. Woodward; and sold by J. Osborn, at the Golden Ball in Pater-Noster-Row,","MDCCXLVII. [1747]",1747,"275,[1]p.,plates :","map ;","12⁰."
"N29362","Aesop.","","Æsopi Phrygis fabulæ,",NULL,"Londini :","typis T. Wood, impensis Societatis Stationariorum,",1744.,1744,"[16],176p. ;","","8⁰."
"N30779","Theobald,","1688-1744.","A dramatick entertainment, call'd Harlequin a sorcerer:",NULL,"London :","printed and sold by T. Wood, at his printing-house, and at the Theatre Royal,",1725.,1725,"[8],15,[1]p. ;","","8⁰."
"N31581","R. L.","","An entertainment of musick, call'd the union of the three sister arts.",NULL,"London :","printed, and sold by T. Wood; and at the theatre in Lincoln's-Inn-Fields,",1723.,1723,"20p. ;","","12⁰."
"N32839","Ramsay,","1686-1743.","The history of Henri de la Tour D'Auvergne,",NULL,"London :","printed by James Bettenham: and sold by A. Bettesworth and C. Hitch; and T. Woodward,",1736.,1736,"v.2([4],516,[3]p.) ;","","8⁰."
"N33468","Gordon, Thomas,","d. 1750.","The humourist:",NULL,"London :","printed for T. Woodward,",1725.,1725,"v.1 (xxx,[6],240,[12]p.) ;","","12⁰."
"N33670",NULL,NULL,"The serpent unscal'd:",NULL,"London :","printed for T. Woodard; and sold by J. Baker,",1714.,1714,"[6],36p. ;","","8⁰."
"N33964",NULL,NULL,"Esther, an oratorio:","The second edition.","London :","printed and sold by T. Wood,",1732.,1732,"19,[1]p. ;","","4⁰."
"N34089","Great Britain.",NULL,"The law of securities.",NULL,"London :","printed for T. Woodward, and J. Peele,",1723.,1723,"[2],x,227,[13]p. ;","","8⁰."
"N34382","Santa Cruz de Marcenado, Alvaro Navia Osorio,","1684-1732.","Reflections, military and political.",NULL,"London :","printed for G. Strahan; D. Brown; J. Stagg; A. Millar; O. Payne and T. Woodman; J. Millan; and J. Brindley,",1737.,1737,"v.1 ([32],510p.) ;","","8⁰."
"N36518","Culmann, Leonhard,","1498?-1562.","Sententiæ pueriles,",NULL,"London :","printed by T. Wood, for the Company of Stationers,",1724.,1724,"3,4-39,[1],4-40,[1]p. ;","","8⁰."
"N36936","Coleire, Richard,","b. 1670.","A sermon preach'd November 27, 1715.",NULL,"London :","printed for T. Woodward; and sold by J. Roberts,",1716.,1716,"[8],16p. ;","","4⁰."
"N37410","Hayes, Charles,","1678-1760.","A supplement to the Dissertation on the chronology of the Septuagint.",NULL,"London :","printed for T. Woodward; and sold by L. Davis,",1747.,1747,"vii,[1],96p. ;","","8⁰."
"N37506","",NULL,"Compendium græcum Novi Testamenti, continens, ex 7959 versiculis totius N. Testamenti, tantùm versiculos 1900. (non tamen integros) in quibus omnes universi Novi Test. voces, unà cum versione Latinâ, inveniuntur. Auctore, Johanne Leusden, ...","Editio nona.","Londini :","typis T. Wood, impensis J. Knapton, R. Wilkin, D. Midwinter, A. Bettesworth, W. Innys, [and 3 others in London],",1729.,1729,"viii,208p. ;","","8⁰."
"N42133","Ray, John,","1627-1705.","Nomenclator classicus,","The eighth edition. Carefully revis'd and correcte","London :","printed by T. Wood, for W. Innys and R. Manby, B. Motte, and J. Clarke,",1736.,1736,"88p. ;","","8⁰."
"N43308","Gosĺicki, Wawrzyniec,","1530-1607.","The accomplished senator.","","London :","printed for T. Woodman; and G. Hawkins,","[1733?]",1733,"[14],xxxii,330,[6]p. ;","","4⁰."
"N4518","Richardson, Robert,","18th cent.","The attorney's practice in the Court of Common Pleas:","The second edition, with large additions. In two v","[London] :","In the Savoy: printed by Henry Lintot, (assignee of Edw. Sayer, Esq;) for T. Woodward; and sold by G. Hawkins at Milton's Head between the Temple-Gates, T. Waller at the Mitre and Crown against Fetter-Lane Fleetstreet, and J. Osborne at the Golden Ball in Pater-Noster Row,","M.DCC.XLVI. [1746]",1746,"2v. ;","","8⁰."
"N4529","Richardson, Robert,","18th cent.","The attorney's practice in the Court of King's Bench:","The second edition, with large additions. In two v","[London] :","In the Savoy: printed by Henry Lintot (assignee of E. Sayer, Esq;) for T. Woodward,",1743.,1743,"2v. ;","","8⁰."
"N4594","Feuquières, Antoine de Pas,","1648-1711.","Memoirs","","London :","printed for T. Woodward, at the Half-Moon in Fleet-Street, and C. Davis . in Pater-Noster Row,","MDCCXXXVII. [1737]",1737,"2v.,plate ;","","8⁰."
"N46005","Justinus, Marcus Junianus.","","Justinus de historiis Philippicis,","","Londini :","typis T. Wood, impensis J. Knapton, R. Wilkin, D. Midwinter, A. Bettesworth, B. Sprint, W. Innys, J. Lacy, & B. Motte,",1730.,1730,"[8],329,[103]p. ;","","8⁰."
"N472023","Haym, Nicola Francesco.","","Flavio re de' Longobardi.","The second edition.","London :","Printed for T. Wood in Little-Britain, and are to be sold at the King's Theatre in the Hay-Market,","M DCC XXXII. [1732]",1732,"47, [1] p. ;","","8⁰"
"N472878","Hippisley, John,","d. 1748.","Flora; an opera.","","London :","printed for T. Wood, in Little Britain, and sold by most of the booksellers of London and Westminster,","MDCCXXIX [1729]",1729,"36 p. ;","","8⁰."
"N474162","Defoe, Daniel,","1661?-1731.","The farther adventures of Robinson Crusoe; being the second and last part of his Life, and of the strange surprizing account of his travels round three parts of the globe. Written by himself.","The sixth edition, adorned with cuts.","London :","printed for T. Woodward,",1736.,1736,"252 p., plates :","ill., maps ;","12⁰."
"N474175","Defoe, Daniel,","1661?-1731.","The farther adventures of Robinson Crusoe;","The fifth edition, adorned with cuts.","London :","printed for W. Mears, and T. Woodward,",1726.,1726,"264 p. ;","","12⁰."
"N474392","Stampiglia, Silvio,","1664-1725.","Parthenope. An opera [in three acts]","","London :","T. Wood,",1730.,1730,"4 p. leaves, 77, [1] p. ;","","12⁰."
"N475995","Xenophon.","","Xenophontos kurou paideias biblia he.","","Londini,","Typis T. Wood,",1729.,1729,"2 p. l., 200, [8]; viii, 244, [10] p. ;","","8⁰."
"N48903","Rich, John,","1682?-1761.","A dramatick entertainment, call'd The necromancer:","","London :","printed, and sold by T. Wood,",1724.,1724,"viii,l5,[1]p. ;","","8⁰."
"N49100","Coleire, Richard,","b. 1670.","A sermon preach'd November 27, 1715.","","London :","printed for T. Woodward; and sold by J. Roberts,",1716.,1716,"[6],16p. ;","","8⁰."
"N51842","Xenophon.","","Xenophontis philosophi et imperatoris clarissimi de Cyri Majoris institutione historiarum libri octo:","","Londini :","Typis T. Wood. Prostant apud J.J. & P. Knapton, R. Wilkin, D. Midwinter, A. Bettesworth & C. Hitch, R. Robinson, B. Motte & C. Bathurst, A. Ward, T. Longman, & J. Clarke,",1736.,1736,"456,[12]p. ;","","8⁰."
"N53319","Pineda, Pedro.","","A new dictionary,","","London :","printed for I. Vaillant, F. Gyles, T. Woodward, and A. Millar,",1739.,1739,"[772]p. ;","","2⁰."
"N53812","",NULL,"Arbace.","","London :","printed for T. Wood, and are to be sold at the King's Theatre in the Hay-Market,",1733.,1733,"47,[1]p. ;","","8⁰."
"N54233","Lowe, Solomon,","d. 1750.","Latin rudiments","The second edition ..","London :","MDCCXXVIII sold by J. Wyat, S. Ballard, J. Noon, T. Woodward, J. Groenwege and N. Prevost, [and 2 others in London],","[1728]",1728,"[2],10p. ;","","8⁰."
"N5531","Lucian,","","Luciani Samosatensis Dialogorum selectorum libri duo, a Gulielmo Du-gardo recogniti, ... cum interpretatione Latinâ, ...","","Londini :","excudit T. Wood; impensis J. Walthoe, J. & J. Knapton, R. Knaplock, J. & B. Sprint, J. Conyers, [and 9 others in London],",1729.,1729,"[10],132;165,[3]p. ;","","12⁰."
"N5532","Lucian,","","Luciani Samosatensis Dialogorum selectorum libri duo, a Gulielmo Du-gardo recogniti, ... cum interpretatione Latinâ, ...","","Londini :","excudit T. Wood; impensis J. Walthoe, G. Conyers, D. Midwinter, A. Bettesworth & C. Hitch, G. Innys & R. Manby, [and 9 others in London],",1737.,1737,"[10],132;165,[3]p. ;","","12⁰."
"N5589","Lucian,","","Nonnulli è Luciani Dialogis selecti, et in duas partes divisi;","","Londini :","typis T. Wood, impensis G. Conyers, R. Wilkins, D. Midwinter, W. Innys & R. Manby, C. Rivington, & A. Ward,",1738.,1738,"[16],218,[6],131,[20]p. ;","","8⁰."
"N61494","Surly,","","The match-Maker fitted:","","London :","printed for T. Woodward, at the Inner-Temple Gate, Fleet-Street,",1718.,1718,"[16],118,[2]p. ;","","8⁰."
"N62283","Covert, Nicholas.","","The scrivener's guide:","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for T. Woodward, D. Browne, J. Shuckburgh, C. Hitch, and J. Hodges,",1740.,1740,"2v.([8],1018,[32]p.) ;","","8⁰."
"N63082","Nieuwentyt, Bernard,","1654-1718.","The religious philosopher:","The second edition, corrected. Adorn'd with cuts.","London :","printed by T. Wood for J. Senex, and W. Taylor,",1719.,1719,"3v.([2],x,[20],xlii,1086p.),plates :","ill. ;","8⁰."
"N6450","Rich, John,","1682?-1761.","A dramatick entertainment, call'd The necromancer:","","London :","printed, and sold by T. Wood, at the Theatre Royal in Lincoln's-Inn-Fields,","[1724]",1724,"viii,l5,[1]p. ;","","8⁰."
"N65133","Pineda, Pedro.","","Nuevo dictionario ...","","London :","por F. Gyles, T. Woodward, T. Cox, J. Clarke, A. Millar, y P. Vaillant,",1750.,1750,"[452]p. ;","","2⁰."
"N66232","Gordon, Thomas,","d. 1750.","The humourist:","","London :","printed for D. Browne, W. Mears, and F. Clay; T. Woodward; J. Brotherton and W. Meadows; and W. Boreham,",1720.,1720,"xxx,[6],240,[12]p. ;","","12⁰."
"N66589","",NULL,"Esther, an oratorio;","","London :","printed and sold by T. Wood, and at the Theatre in Oxford,",1733.,1733,"19,[1]p. ;","","4⁰."
"N66759","Euclid.","","Euclid's Elements of geometry,","","London :","printed for T. Woodward, and sold by J. Osborn,",1745.,1745,"[14],397,[1]p.,plates :","ill. ;","8⁰."
"N6760","",NULL,"An historical account of all the tryals and attainders of high-treason,","","London :","printed by H. Meere, for A. Bettesworth in Peter-Noster-Row, W. Mears and J. Brown without Temple-Bar, and T. Woodward in Fleet-Street,","[1716]",1716,"2v. ;","","12⁰."
"N6764","Hippisley, John,","d. 1748.","Flora; an opera.","The third edition.","London :","printed by T. Wood, and sold by J. Roberts,",1729.,1729,"32p.,8 plates :","engr.music ;","8⁰."
"N72289","Haym, Nicola Francesco.","","Giulio Cesare in Egitto. Drama. Da rappresentarsi nel Regio Teatro di Hay-Market.","The fourth edition.","London :","printed for T. Wood in Little-Britain, and are to be sold at the King's Theatre in the Hay-Market,",1732.,1732,"55, [1] p. ;","","8⁰."
"N7254","Boulainvilliers, Henri,","1658-1722.","Etat de la France,","","Londres :","chez T. Wood & S. Palmer,",1737.,1737,"6v.,plates :","map ;","12⁰."
"N8426","",NULL,"Esther, an oratorio:","","London :","printed and sold by T. Wood, in Little Britain, and at the King's Theatre in the Hay-Market,","MDCCXXXII. [1732]",1732,"19,[1]p. ;","","4⁰."
"N8540","Haym, Nicola Francesco","","Giulio Cesare in Egitto. Drama. Da rappresentarsi nel Regio Teatro di Hay-Market.","The third edition.","London :","printed and sold by T. Wood, in Little Britain,","MDCCXXX. [1730]",1730,"75,[1]p. ;","","8⁰."
"N9378","Exquemelin, A. O.","","The history of the bucaniers of America.","The fourth edition.","London :","printed for D. Midwinter, in St. Paul's-Church-Yard; T. Woodward, at the Half-Moon between the Temple-Gates; C. Bathurst, at the Cross-Keys against St. Dunstan's Church, both in Fleet-Street; and A. Ward, at the King's-Arms in Little-Britain,","MDCCXLI. [1741]",1741,"2v.,plates :","maps,ports. ;","12⁰."
"N9841","Hippisley, John,","d. 1748.","Flora; an opera.","","London :","printed for T. Wood, and sold by most of the booksellers of London and Westminster,",1729.,1729,"32p.,8 plates :","engr.music ;","8⁰."
"N9842","Hippisley, John,","d. 1748.","Flora; an opera.","","London :","printed for T. Wood, in Little-Britain, and sold by most of the booksellers of London and Westminster,","MDCCXXIX. [1729]",1729,"32p.,8 plates :","engr.music ;","8⁰."
"T100921","Hales, Stephen,","1677-1761.","A description of ventilators:","","London :","printed for W. Innys, at the West End of St. Paul's; R. Manby, over against the Old Bailey on Ludgate-Hill; and T. Woodward,","M.DCC.XLIII. [1743]",1743,"xx,172p.,plates ;","","8⁰."
"T101262","Bennet, Thomas,","1673-1728.","Thomæ Bennet, S.T.P. Grammatica Hebræa cum uberrima praxi in usum tironum, qui linguam Hebræam absque præceptoris viva voce (idque in brevissimo temporis compendio) ediscere cupiunt. Accedit consilium de studio præcipuarum linguarum orientalium, Hebraeae scil. Chaldaeae, Syrae, Samaritanae & Arabicae, instituendo & perficiendo.","Editio tertia.","Londini :","typis T. Wood; impensis T. Astley, ad insigne Rosae in Coemeterio Paulino, & L. Gilliver, sub Homeri Capite in Fleet-Street,","MDCCXXXI. [1731]",1731,"viii,148,[4]p. ;","","8⁰."
"T101366","Rundle, Thomas,","1688?-1743.","A sermon preached at St. George's Church Hanover Square, on Sunday February 17, 1733/4.","","London :","printed for T. Woodward, at the Half-Moon between the two Temple Gates, Fleet-Street, and J. Brindley in New Bond-Street,","MDCCXXXIV [1734]",1734,"20p. ;","","8⁰."
"T103701","",NULL,"The philosophical transactions (from the year 1732, to the year 1744) abridged,","","London :","printed for W. Innys, C. Hitch, T. Astley in Pater-Noster-Row, T. Woodward, C. Davis in Holbourn, and R. Manby and H.S. Cox on Ludgate-Hill,","MDCCXLVII. [1747]",1747,"2v.,plates ;","","4⁰."
"T105550","",NULL,"Novus Græcorum epigrammatum et poematōn delectus, cum nova versione et notis. Operâ Thomæ Johnson, A.M. In usum scholæ Etonensis.","Editio octava emendatior.","Londini :","typis T. Wood; impensis Gulielmi Innys,",1740.,1740,"[24],152p. :","ill. ;","8⁰."
"T105553","",NULL,"Poetæ minores Græci,","","Londini :","typis T. Wood, impensis G. Innys: & B. Motte,",1728.,1728,"[4],112, 115-453,[1]p.,2 plates ;","","8⁰."
"T10610","Hales, Stephen,","1677-1761.","A sermon preached before the trustees for establishing the colony of Georgia in America;","","London :","printed for T. Woodward,",1734.,1734,"62,[2]p. ;","","4⁰."
"T107789","Purves, J. A.","","The law and lawyers laid open,","","London :","printed for T. Woodman, at Camden's Head in Round-Court in the Strand; and J. Chrichley, at the London Gazette, Charing-Cross,",1737.,1737,"xlviii,269,[3]p. ;","","12⁰."
"T107844","",NULL,"The history of Our Saviour, Jesus Christ;","","London :","printed for W. Mears and F. Clay without Temple-Bar, and J. Hooke and T. Woodward in Fleetstreet,",1721.,1721,"[4], 320 p., plate :","map ;","8⁰."
"T108500","",NULL,"A complete collection of state-trials,","The second edition, with great additions.","London :","printed for J. Walthoe sen. R. Vincent sen. J. and J. Knapton, R. Knaplock, J. Roberts, J. Darby, S. Buckley, D. Midwinter and A. Ward, A. Bettesworth and C. Hitch, B. Lintot, R. Gosling, W. Mears, B. Sprint, J. Tonson, W. Innys, J. Osborn and T. Longman, T. Woodward, R. Robinson, T. Saunders, B. Motte, J. Walthoe Jun. C. King, F. Clay, W. Battersby, J. Batley, T. Cox, J. Peele, E. Symon, S. Noble, R. Williamson, T. Wotton, D. Browne, B. Creake, J. Clarke, R. Hett, T. Osborne, L. Gilliver, J. Stagg.","M.DCC.XXX. [1730]",1730,"6v. ;","","2⁰."
