"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"N18615","Jones, Griffith,","1683-1761.","A further account of the progress of the circulating Welsh charity-schools. In a letter to a friend. By the Reverend Mr. Jones, Minister of Llandowror, near Laugharne, Carmarthenshire.",NULL,"London :","printed for J. Hutton, at the Bible and Sun without Temple-Bar,","M.DCCXL. [1740]",1740,"iv,29,[3]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2877"
"N19303",NULL,NULL,"A letter to the free-holders of Great Britain.",NULL,"London :","printed for J. Peele,",1733.,1733,"30p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1940"
"N19356","Norman, John,","fl. 1703-1757.","Lay-nonconformity justified,","The second edition.","London :","printed for John Clark at the Bible and Crown in the Poultry, near Cheapside,",1716.,1716,"[4],24,33-52p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 294"
"N19454",NULL,NULL,"A paraphrase and comment upon the Epistles and Gospels,","The fourth edition.","London :","printed by M. J. for E. Parker; R. Williamson; and B. Motte,",1726.,1726,"4v.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1245"
"N20436","De-La-Cour, James,","1709-ca. 1785.","The progress of beauty. A poem.",NULL,"[London] :","Dublin, printed. London, reprinted and sold by J. Roberts,",1732.,1732,"36p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1813"
"N20604",NULL,NULL,"Poems on several occasions. By His Grace the Duke of Buckingham ... Sr. Samuel Garth ... Bevil Higgins Esq; And other eminent hands.",NULL,"London :","printed for Bernard Lintot,",1717.,1717,"[8],192,177-228p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 394"
"N20906","Daniel, Richard,","d. 1739.","A poem on the return of His Majesty King George from Hanover:",NULL,"London :","printed for Bernard Lintot between the Temple-Gates in Fleetstreet,","[1717]",1717,"8p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 366"
"N2132","Whitby, Daniel,","1638-1726.","Irrisio Dei panarii Romanensium.",NULL,"London :","printed for John Churchill, at the Black-Swan in Pater-Noster-Row,",1716.,1716,"124p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 304"
"N21447","Sannazaro, Jacopo,","1458-1530.","Sannazarius on the birth of our Saviour. Done into English verse. And humbly inscrib'd to the gentlemen of the learned society of Spalding in the county of Lincoln. By a member of the said society.",NULL,"London :","printed for W. Lewis, in Covent-Garden,","MDCCXXXVI. [1736]",1736,"[2],78p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2265"
"N21545",NULL,NULL,"Schemes from Ireland, for the benefit of the body natural, ecclesiastical, and politick.","The second edition.","[London] :","Dublin printed: London, re-printed for J. Roberts,",1732.,1732,"31,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1751"
"N21895",NULL,NULL,"Select poems from Ireland:",NULL,"[London] :","Printed at Dublin: London, reprinted and sold by T. Warner,",1730.,1730,"[2],30p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1503"
"N21911",NULL,NULL,"Select poems from Ireland:",NULL,"[London] :","Printed at Dublin: London, reprinted and sold by T. Warner at the Black-Boy in Pater-Noster-Row,","M.DCC.XXX. [1730]",1730,"[4],28p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1547"
"N21944","Horace.","","Quinti Horatii Flacci opera. Interpretatione & notis illustravit Ludovicus Desprez, ... jussu Christianissimi regis, in usum serenissimi delphini, ... Huic editioni accessere vita Horatii, cum Dacerii notis, ejusdem chronologia Horatiana, & præfatio. De satyra Romana.","Editio decima.","Londini :","impensis D. Midwinter, W. Innys & R. Manby, A. Ward, J. & P. Knapton, T. Longman, J. Clarke (Exchange), S. Birt, R. Parker, C. Hitch, J. Wood & C. Woodward, E. Wicksteed, & C. Bathurst,",1740.,1740,"[20],592,581-619,[125]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2935"
"N22057","Farquhar, George,","1677?-1707.","The recruiting officer.","The tenth edition.","London :","printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates,",1723.,1723,"94,[2]p. :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 913"
"N22125","Hildrop, John,","1682-1756.","Reflections upon reason.","The second edition.","London :","printed for W. and J. Innys at the Prince's-Arms, at the West-End of St. Paul's","MDCCXXII. [1722]",1722,"76,[4]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 836"
"N22195","Clayton, Thomas,","1664 or 5-1744.","Seriousness of attention at the time of divine worship.",NULL,"London :","printed by W. B. for Richard Sare at Gray's-Inn Gate in Holborn,",1712.,1712,"32p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 132"
"N22288","Richardson, Jonathan,","1665-1745.","Two discourses.",NULL,"London :","printed for A. C. and sold by A. Bettesworth,",1725.,1725,"[16],153,174-220;[2],234,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 489"
"N22292","Collier, Jeremy,","1650-1726.","Several discourses upon practical subjects.",NULL,"London :","printed for A. Bettesworth, W. Innys, J. Pemberton, J. Osborn and T. Longman, and T. Ward,",1728.,1728,"[4],442p.,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1371"
"N22525","Stephens, William,","d. 1718.","A sermon against popery,","The second edition.","London :","printed for A. Baldwin, in Warwich-Lane,","[1712]",1712,"16p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 112"
"N22550","Pineda, Pedro.","","A short and compendious method for the learning to speak, read, and write the Spanish language:",NULL,"London :","printed for T. Woodward,",1726.,1726,"[24],320p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1190"
"N22630","Castleton, Nathaniel.","","Serpentes avibus geminentur, tigribus agni. Several preparatory instances of Mr. Castleton's way of writing produc'd against the intricate representation of him in the foresaid Spectator.",NULL,"London :","printed for John Morphew, near Stationers Hall,",1715.,1715,"64p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 232"
"N22667","Hickes, George,","1642-1715.","Several letters which passed between Dr. George Hickes, and a popish priest,","The second edition.","London :","printed for Richard Sare, at Grays-Inn Gate in Holborn,",1715.,1715,"[48],333,[85]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 228"
"N22743","Clagett, Nicholas,","d. 1746.","A sermon concerning edifying.",NULL,"London :","printed for J. Pemberton, at the Buck over-against St. Dunstan's Church, in Fleetstreet,",1726.,1726,"24p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1246"
"N22875","St. John, Pawlet,","ca. 1680-1732.","A sermon preach'd at the anniversary-meeting of the Sons of the Clergy",NULL,"London :","printed for W. and J. Innys at the West End of St. Paul's,",1723.,1723,"40p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 906"
"N23392","Wesley, Samuel,","1691-1739.","The parish priest. A poem, upon a clergyman lately deceas'd.",NULL,"London :","printed for J. Roberts in Warwick-Lane,","MDCCXXXI. [1731]",1731,"20p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1720"
"N23570","Awbrey, Timothy,","b. 1673 or 4.","A sermon preach'd before the Honble House of Commons on the 29th of May, 1715. Being the anniversary of the restoration of King Charles II. By Timothy Awbrey, D.D.",NULL,"London :","printed for William Taylor at the Ship in Pater-Noster-Row,",1715.,1715,"[4],20p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 253"
"N23609","Bisse, Thomas,","d. 1731.","A sermon preach'd before the Sons of the Clergy, at their anniversary meeting in the cathedral-church of St. Paul, December 6, 1716. By Tho. Bisse, D. D. Preacher at the Rolls, and Chaplain in Ordinary to His Majesty.",NULL,"London :","printed for R. Wilkin at the King's-Head and H. Clements at the Half Moon in St. Paul's Church-Yard,",1716.,1716,"[4],51,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 367"
"N23666","Dibben, Thomas,","1677 or 8-1741.","A sermon preach'd in St. John's Church in Utrecht, on Sunday March 9/20 1711. Being the day after the anniversary of Her Majesty's happy accession to the throne. By Thomas Dibben, ...","The second edition. ..","London :","printed for Bernard Lintott,","[1712]",1712,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 124"
"N23716","Wake, William,","1657-1737.","A sermon preached before the King in St. James's Chapel, upon the first of August 1715:",NULL,"London :","printed for Richard Sare,",1715.,1715,"28p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 261"
"N23814","Rundle, Thomas,","1688?-1743.","A sermon preached in Christ-church, Dublin, on Thursday the 23d of October, 1735. being the anniversary of the Irish rebellion, ... By ... Thomas Rundle, ...","The second edition.","[London] :","Dublin, printed, reprinted at London, for J. Roberts,",1735.,1735,"20p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2221"
"N23938","Clarke, Samuel,","1675-1729.","Sermons on the following subjects,","The second edition, corrected.","London :","printed by W. Botham, for James and John Knapton,","1730-31.",1730,"10v.,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1633"
"N24030","Pluche, Noël Antoine,","1688-1761.","Spectacle de la nature:","The second edition, corrected.","London :","printed for J. Pemberton; R. Francklin; and C. Davis,",1735.,1735,"v.1 (xvi,192;207,[17]p.),plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2090"
"N24205","Pluche, Noël Antoine,","1688-1761.","Spectacle de la nature:","The fifth edition, corrected.","London :","printed for R. Francklin; C. Davis; and J. Pemberton,",1740.,1740,"v.1-3,plates ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2772"
"N24208","Pluche, Noël Antoine,","1688-1761.","Spectacle de la nature:","The third edition, corrected.","London :","printed for R. Francklin; C. Davis; and J. Pemberton,",1740.,1740,"v.1,4,plates :","maps ;","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2772"
"N2445","Fenton, Elijah,","1683-1730.","A letter to the knight of the sable shield.",NULL,"London :","printed for Bernard Lintot,",1716.,1716,"8p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 306"
"N24647","Dibben, Thomas,","1677 or 8-1741.","A sermon preach'd at Shaftsbury, May 24. 1711.",NULL,"London :","printed by W. B. for Richard Sare,",1712.,1712,"[8],24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 108"
"N25020","Moréri, Louis,","1643-1680.","A supplement to The great historical, geographical, genealogical and poetical dictionary:","The second edition.","London :","printed by W. Bowyer, for C. Collier; Tho. Ward; and the executors of Henry Rhodes deceased,",1727.,1727,"[682]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1269"
"N25667",NULL,NULL,"The whole book of Psalms; collected into English metre,",NULL,"London :","printed by Tho. Wilmer, for the Company of Stationers,",1713.,1713,"[96]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 178"
"N25721","Pope, Alexander,","1688-1744.","The works of Mr. Alexander Pope.",NULL,"London :","printed by W. Bowyer, for Jacob Tonson, and Bernard Lintot,",1717.,1717,"[32],408p.,plate :","port. ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 386"
"N25889","Farquhar, George,","1677?-1707.","The works of the late ingenious Mr. George Farquhar:","The third edition.","London :","printed for Bernard Lintott,","[1714]",1714,"8 parts,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 220"
"N25944","Tillotson, John,","1630-1694.","The works","The third edition.","London :","printed for Benjamin Tooke, John Pemberton, and Edward Valentine; Jacob Tonson, and James Round,",1722.,1722,"2v. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 852"
"N26036","Farquhar, George,","1677?-1707.","The works of the late ingenious Mr. George Farquhar:","The fifth edition.","London :","printed, for J. Knapton, R. Smith, G. Strahan, and B. Llntot [sic],",1721.,1721,"v.1 (101,[7],94,[10],156,[2]p.) ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 781"
"N26170",NULL,NULL,"Parsons his Christian directory,","The fifth edition, corrected.","London :","printed for James and John Knapton, Daniel Midwinter, William and John Innys, and Ranew Robonson; John Osborne and Thomas Longman; and Richard Williamson,",1727.,1727,"[12],476p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1258"
"N26203","Delany, Patrick,","1685 or 6-1768.","Longford's-Glyn,","The second edition.","London :","printed for Charles Bathurst,",1739.,1739,"[4],11,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2640"
"N26435","Layman of the Church of England.","","A reply to the Reverend Mr. Bowman's letter to the inhabitants of Dewsbury.",NULL,"London :","printed for James Hutton,",1740.,1740,"[2], 37, [1] p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2884"
"N26535","Richardson, John,","1647-1725?.","The canon of the New Testament vindicated;","The third edition corrected.","London :","printed by W. Bowyer, for Richard Sare, near Gray's-Inn-Gate in Holborn,","1619 [1719]",1719,"xxi,[3],130,[6]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 480"
"N26595","Hall, Fayrer.","","Captain Fayrer Hall's evidence,",NULL,"[London?,","","1732]",1732,"12p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1822"
"N26802",NULL,NULL,"The case of the borrowers on the South-Sea loans, stated.","The second edition.","London :","printed for T. Bickerton at the Crown in Paternoster-Row,",1721.,1721,"31,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 714"
"N26879","Aislabie, John,","1670-1742.","The case of the Right Honble John Aislabie, Esq;",NULL,"[London] :","Printed for L. Smith, in Cornhil,",1721.,1721,"[2],24,29-42p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 729"
"N26980",NULL,NULL,"The caveat,",NULL,"London :","printed for the booksellers of London and Westminster,","[1732?]",1732,"[8],31,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1887"
"N27232","Nelson, Robert,","1656-1715.","A companion for the festivals and fasts of the Church of England:","The eleventh edition.","London :","printed by W. Bowyer for R. Bonwick, T. Goodwin, J. Walthoe, M. Wotton, B. Tooke, R. Wilkin, R. Smith, and T. Ward,",1720.,1720,"[2],xxii,[4],636,[16]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 609"
"N27235","Nelson, Robert,","1656-1715.","A companion for the festivals and fasts of the Church of England:","The seventh edition.","London :","printed by W. Bowyer for J. Churchill,",1712.,1712,"[2],xxii,[4],636,[16]p.,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 128"
"N27246","La Motte,","1672-1731.","A critical discourse upon Homer's Iliad.",NULL,"London :","printed for Bernard Lintott,",1714.,1714,"96p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 210"
"N276","Jonson, Ben,","1573?-1637.","Earl Mortimer's speech.",NULL,"[London :","printed by William Bowyer for Lintott,","1711]",1711,"1 sheet ;","","1/2⁰.","Maslen & Lancaster. Bowyer ledgers, 82"
"N27998","Boyer, Abel,","1667-1729.","The compleat French-master,",NULL,"London :","printed for Richard Sare, John Nicholson, and Samuel Ballard,",1714.,1714,"[4],412p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 224"
"N2816","Ecton, John,","d. 1730.","Liber valorum & decimarum;",NULL,"London :","printed by W. B. for Is. Harrison, W. Freeman, and George Sawbridge,",1711.,1711,"[8],396,[12]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 77"
"N28963","Townley, James,","1714-1778.","The duty of the magistrate:",NULL,"London :","printed for Francis Gosling,",1741.,1741,"[4],20p. ;","","4⁰.","Maslen and Lancaster. Bowyer ledgers, 2975"
